Q20,Q30,EHFB,HFBROT
26400.0,-0.0,-1749.177082,-1754.251579
26400.0,6000.0,-1748.969779,-1754.034524
26400.0,12000.0,-1752.257947,-1756.844288
26400.0,18000.0,-1756.828185,-1761.37538
26400.0,24000.0,-1757.415856,-1762.047748
26400.0,30000.0,-1754.48002,-1759.136326
26400.0,36000.0,-1751.567126,-1756.168536
26400.0,42000.0,-1752.537071,-1757.507835
26400.0,48000.0,-1752.368978,-1757.339837
26400.0,54000.0,-1749.930455,-1754.937225
26400.0,60000.0,-1748.455353,-1753.56272
27200.0,0.0,-1748.799623,-1753.889682
27200.0,6000.0,-1749.183928,-1753.918299
27200.0,12000.0,-1753.892393,-1758.480566
27200.0,18000.0,-1758.672183,-1763.236325
27200.0,24000.0,-1760.175712,-1764.797672
27200.0,30000.0,-1757.775785,-1762.436136
27200.0,36000.0,-1754.695872,-1759.331739
27200.0,42000.0,-1752.772602,-1757.751185
27200.0,48000.0,-1752.912272,-1757.895883
27200.0,54000.0,-1751.281235,-1756.290472
27200.0,60000.0,-1749.922799,-1754.529412
28000.0,-0.0,-1748.834804,-1753.466877
28000.0,6000.0,-1751.363034,-1756.096408
28000.0,12000.0,-1755.434489,-1760.026306
28000.0,18000.0,-1760.34904,-1764.927588
28000.0,24000.0,-1762.67234,-1767.280822
28000.0,30000.0,-1760.956106,-1765.617031
28000.0,36000.0,-1757.780648,-1762.431353
28000.0,42000.0,-1755.250489,-1759.870547
28000.0,48000.0,-1753.434101,-1758.058231
28000.0,54000.0,-1752.41769,-1757.037256
28000.0,60000.0,-1752.07691,-1756.687549
28800.0,-0.0,-1751.070192,-1755.707762
28800.0,6000.0,-1753.471497,-1758.203049
28800.0,12000.0,-1756.93624,-1761.537375
28800.0,18000.0,-1761.889908,-1766.480658
28800.0,24000.0,-1764.914276,-1769.496841
28800.0,30000.0,-1763.904209,-1768.562506
28800.0,36000.0,-1760.805876,-1765.464307
28800.0,42000.0,-1758.148323,-1762.786116
28800.0,48000.0,-1756.108363,-1760.732248
28800.0,54000.0,-1754.834682,-1759.460408
28800.0,60000.0,-1754.246775,-1758.864941
29600.0,0.0,-1753.221472,-1757.86421
29600.0,6000.0,-1755.508944,-1760.237312
29600.0,12000.0,-1758.681203,-1763.403277
29600.0,18000.0,-1763.314225,-1767.91544
29600.0,24000.0,-1766.818565,-1771.371379
29600.0,30000.0,-1766.615703,-1771.268343
29600.0,36000.0,-1763.765636,-1768.428277
29600.0,42000.0,-1761.010841,-1765.658844
29600.0,48000.0,-1758.782181,-1763.410481
29600.0,54000.0,-1757.268187,-1761.898585
29600.0,60000.0,-1756.436217,-1761.061916
30400.0,0.0,-1755.29294,-1759.940251
30400.0,6000.0,-1757.475898,-1762.204251
30400.0,12000.0,-1760.418306,-1765.144604
30400.0,18000.0,-1764.63522,-1769.244238
30400.0,24000.0,-1768.441396,-1773.000881
30400.0,30000.0,-1769.092718,-1773.737775
30400.0,36000.0,-1766.657872,-1771.322996
30400.0,42000.0,-1763.814979,-1768.469847
30400.0,48000.0,-1761.450893,-1766.095889
30400.0,54000.0,-1759.71454,-1764.349383
30400.0,60000.0,-1758.646099,-1763.278213
31200.0,-0.0,-1757.289422,-1761.936131
31200.0,6000.0,-1759.375735,-1764.106055
31200.0,12000.0,-1762.125153,-1766.853767
31200.0,18000.0,-1765.870913,-1770.484966
31200.0,24000.0,-1769.889756,-1774.465486
31200.0,30000.0,-1771.344835,-1775.980438
31200.0,36000.0,-1769.473985,-1774.139651
31200.0,42000.0,-1766.559268,-1771.219883
31200.0,48000.0,-1764.107993,-1768.755402
31200.0,54000.0,-1762.170248,-1766.811347
31200.0,60000.0,-1760.875101,-1765.512565
32000.0,-0.0,-1759.215342,-1763.86578
32000.0,6000.0,-1761.214629,-1765.93903
32000.0,12000.0,-1763.793913,-1768.523901
32000.0,18000.0,-1767.109393,-1771.798614
32000.0,24000.0,-1771.20455,-1775.797491
32000.0,30000.0,-1773.368495,-1777.988603
32000.0,36000.0,-1772.110312,-1776.774232
32000.0,42000.0,-1769.243022,-1773.907332
32000.0,48000.0,-1766.730922,-1771.382901
32000.0,54000.0,-1764.631698,-1769.280099
32000.0,60000.0,-1763.120454,-1767.762718
32800.0,-0.0,-1761.072781,-1765.723349
32800.0,6000.0,-1762.991497,-1767.716779
32800.0,12000.0,-1765.422905,-1770.153757
32800.0,18000.0,-1768.458652,-1773.162591
32800.0,24000.0,-1772.413451,-1777.022705
32800.0,30000.0,-1775.103954,-1779.689568
32800.0,36000.0,-1774.535274,-1779.194393
32800.0,42000.0,-1771.867933,-1776.53501
32800.0,48000.0,-1769.298109,-1773.954653
32800.0,54000.0,-1767.090898,-1771.744304
32800.0,60000.0,-1765.379061,-1770.025853
33600.0,0.0,-1762.865005,-1767.520606
33600.0,6000.0,-1764.708868,-1769.431633
33600.0,12000.0,-1767.011618,-1771.742962
33600.0,18000.0,-1769.824129,-1774.536139
33600.0,24000.0,-1773.53197,-1778.157431
33600.0,30000.0,-1776.539074,-1781.103582
33600.0,36000.0,-1776.754566,-1781.407464
33600.0,42000.0,-1774.433219,-1779.101535
33600.0,48000.0,-1771.804144,-1776.465087
33600.0,54000.0,-1769.529087,-1774.184995
33600.0,60000.0,-1767.654329,-1772.306899
34400.0,0.0,-1764.593268,-1769.25548
34400.0,6000.0,-1766.37339,-1771.09748
34400.0,12000.0,-1768.559281,-1773.290308
34400.0,18000.0,-1771.182868,-1775.89938
34400.0,24000.0,-1774.574372,-1779.214723
34400.0,30000.0,-1777.807884,-1782.383162
34400.0,36000.0,-1778.771576,-1783.417099
34400.0,42000.0,-1776.934794,-1781.603408
