   Q20	    Q22	  pairing    E_HFB         E_ZPE     B2020      B2222       Bpairpair   B2022       B20pair     B22pair       \Delta_n    \Delta_p  	
   23.00    0.00    8.00   -1803.053       4.520    0.011606    0.019334    0.000408    0.000000   -0.001324    0.000000       1.076       1.121
   23.00    0.00    9.00   -1803.020       4.529    0.011364    0.019039    0.000399    0.000000   -0.001286    0.000000       1.090       1.134
   23.00    0.00   10.00   -1802.983       4.538    0.011133    0.018746    0.000406    0.000000   -0.001273    0.000000       1.105       1.147
   23.00    0.00   11.00   -1802.947       4.550    0.010873    0.018443    0.000399    0.000000   -0.001232    0.000000       1.120       1.160
   23.00    0.00   12.00   -1802.902       4.559    0.010634    0.018160    0.000386    0.000000   -0.001180    0.000000       1.135       1.173
   23.00    0.00   13.00   -1802.857       4.570    0.010428    0.017878    0.000386    0.000000   -0.001156    0.000000       1.149       1.188
   23.00    0.00   14.00   -1802.807       4.580    0.010229    0.017585    0.000384    0.000000   -0.001132    0.000000       1.163       1.201
   23.00    0.00   15.00   -1802.755       4.592    0.010037    0.017310    0.000370    0.000000   -0.001088    0.000000       1.179       1.214
   23.00    0.00   16.00   -1802.695       4.602    0.009894    0.017047    0.000351    0.000000   -0.001042    0.000000       1.193       1.227
   23.00    0.00   17.00   -1802.631       4.611    0.009714    0.016788    0.000345    0.000000   -0.001010    0.000000       1.207       1.240
   23.00    0.00   18.00   -1802.563       4.621    0.009578    0.016530    0.000357    0.000000   -0.001007    0.000000       1.220       1.253
   23.00    0.00   19.00   -1802.498       4.633    0.009412    0.016274    0.000352    0.000000   -0.000977    0.000000       1.234       1.268
   23.00    0.00   20.00   -1802.422       4.643    0.009287    0.016022    0.000330    0.000000   -0.000936    0.000000       1.248       1.281
   23.00    0.00   21.00   -1802.342       4.653    0.009129    0.015784    0.000326    0.000000   -0.000908    0.000000       1.262       1.294
   23.00    0.00   22.00   -1802.259       4.663    0.008977    0.015549    0.000321    0.000000   -0.000881    0.000000       1.276       1.307
   23.00    0.00   23.00   -1802.171       4.672    0.008829    0.015319    0.000316    0.000000   -0.000852    0.000000       1.289       1.319
   23.00    0.00   24.00   -1802.079       4.682    0.008670    0.015095    0.000323    0.000000   -0.000840    0.000000       1.303       1.332
   23.00    0.00   25.00   -1801.987       4.693    0.008517    0.014863    0.000326    0.000000   -0.000818    0.000000       1.318       1.345
   23.00    0.00   26.00   -1801.889       4.704    0.008377    0.014636    0.000311    0.000000   -0.000776    0.000000       1.331       1.359
   23.00    0.00   27.00   -1801.785       4.713    0.008246    0.014419    0.000322    0.000000   -0.000772    0.000000       1.345       1.371
   23.00    0.00   28.00   -1801.686       4.727    0.008132    0.014197    0.000335    0.000000   -0.000766    0.000000       1.360       1.386
   23.00    0.00   29.00   -1801.581       4.739    0.008008    0.013978    0.000307    0.000000   -0.000714    0.000000       1.375       1.399
   23.00    0.00   30.00   -1801.464       4.749    0.007890    0.013782    0.000296    0.000000   -0.000679    0.000000       1.388       1.412
   23.00    0.00   31.00   -1801.348       4.760    0.007747    0.013586    0.000291    0.000000   -0.000652    0.000000       1.401       1.427
   23.00    0.00   32.00   -1801.224       4.769    0.007621    0.013399    0.000286    0.000000   -0.000628    0.000000       1.414       1.439
   23.00    0.00   33.00   -1801.096       4.779    0.007504    0.013214    0.000281    0.000000   -0.000605    0.000000       1.427       1.451
   23.00    0.00   34.00   -1800.964       4.788    0.007395    0.013032    0.000277    0.000000   -0.000582    0.000000       1.441       1.464
   23.00    0.00   35.00   -1800.829       4.798    0.007292    0.012853    0.000273    0.000000   -0.000560    0.000000       1.454       1.476
   23.00    0.00   36.00   -1800.689       4.808    0.007195    0.012678    0.000269    0.000000   -0.000540    0.000000       1.468       1.488
   23.00    0.00   37.00   -1800.546       4.817    0.007102    0.012507    0.000266    0.000000   -0.000521    0.000000       1.481       1.501
   23.00    0.00   38.00   -1800.398       4.826    0.007014    0.012341    0.000264    0.000000   -0.000503    0.000000       1.494       1.513
   23.00    0.00   39.00   -1800.246       4.835    0.006930    0.012181    0.000263    0.000000   -0.000486    0.000000       1.507       1.526
