 #  Z     N         Q_20        Q_30       BE_LN
    92   158      256.00       12.00    -1796.3960
    92   158      256.00       15.00    -1796.5470
    92   158      256.00       18.00    -1798.9550
    92   158      256.00       21.00    -1801.8050
    92   158      256.00       24.00    -1804.3680
    92   158      256.00       27.00    -1805.8230
    92   158      256.00       30.00    -1805.0190
    92   158      256.00       33.00    -1803.3170
    92   158      256.00       36.00    -1800.5650
    92   158      256.00       39.00    -1797.3070
    92   158      256.00       42.00    -1794.3370
    92   158      256.00       45.00    -1791.3530
    92   158      256.00       48.00    -1786.8870
    92   158      256.00       51.00    -1780.7390
    92   158      256.00       54.00    -1778.3350
    92   158      256.00       57.00    -1793.5260
