#    Z      N      Q20        Q30        BE           E0           M22          M32          M33         
    92    140    112.000     39.000  -1712.63754      1.46473      0.05896     -0.04180      0.08799
    92    140    112.000     42.000  -1706.87960      1.56472      0.05545     -0.03947      0.09588
    92    140    112.000     45.000  -1697.60181      0.98124      0.04734     -0.03766      0.11580
    92    140    112.000     48.000  -1697.93108      1.71877      0.04061     -0.02236      0.10610
    92    140    112.000     51.000  -1697.37215      1.50685      0.11490     -0.22030      0.65270
    92    140    112.000     54.000  -1694.80295      0.65107      0.20590     -0.42390      1.26000
    92    140    112.000     57.000  -1689.63768      0.71413      0.10640     -0.11450      0.44220
    92    140    112.000     60.000  -1680.48242      0.52129      0.09256     -0.15390      0.44750
    92    140    120.000      0.000  -1745.29119      1.60044      0.04841     -0.00000      0.02172
    92    140    120.000      3.000  -1745.73954      1.53642      0.04645     -0.00438      0.02346
    92    140    120.000      6.000  -1747.31169      1.42773      0.03864     -0.00621      0.02932
    92    140    120.000      9.000  -1748.75000      1.47608      0.04011     -0.01157      0.03349
    92    140    120.000     12.000  -1748.05458      1.47666      0.04654     -0.02154      0.04015
    92    140    120.000     15.000  -1745.79164      1.47257      0.06671     -0.03918      0.05892
    92    140    120.000     18.000  -1741.76941      1.47398      0.06914     -0.03868      0.04985
    92    140    120.000     21.000  -1735.70256      1.49449      0.06198     -0.03574      0.04829
    92    140    120.000     27.000  -1724.03783      1.40498      0.03049     -0.02591      0.05853
    92    140    120.000     30.000  -1721.41359      1.51231      0.04210     -0.03140      0.06306
    92    140    120.000     33.000  -1718.84309      1.36933      0.04676     -0.04360      0.08546
    92    140    120.000     36.000  -1716.45108      1.24946      0.04815     -0.04835      0.10500
    92    140    120.000     39.000  -1714.86736      1.18876      0.05295     -0.04876      0.10370
    92    140    120.000     42.000  -1712.17002      1.41207      0.06122     -0.04279      0.07553
    92    140    120.000     45.000  -1706.64573      1.48474      0.06386     -0.04658      0.09838
    92    140    120.000     51.000  -1701.11024      2.00396      0.03681     -0.01353      0.08116
    92    140    120.000     54.000  -1700.46365      1.59817      0.06411     -0.07828      0.25610
    92    140    120.000     57.000  -1698.45611      0.64901      0.14730     -0.26630      0.81470
    92    140    120.000     60.000  -1693.48178      1.17094      0.13540     -0.27540      0.73180
    92    140    128.000     -0.000  -1743.86713      1.75556      0.03863      0.00000      0.02058
    92    140    128.000      3.000  -1744.54867      1.61611      0.03647     -0.00284      0.02277
    92    140    128.000      6.000  -1746.51874      1.37413      0.04460     -0.00776      0.02796
    92    140    128.000      9.000  -1748.87733      1.48844      0.04331     -0.01013      0.02860
    92    140    128.000     12.000  -1749.24750      1.55594      0.04643     -0.02376      0.04120
    92    140    128.000     15.000  -1747.15647      1.45302      0.05221     -0.03152      0.04576
    92    140    128.000     18.000  -1744.21692      1.38044      0.06865     -0.04522      0.05786
    92    140    128.000     21.000  -1739.36736      1.40082      0.05992     -0.04307      0.05701
    92    140    128.000     24.000  -1732.78712      1.51573      0.04663     -0.03164      0.04541
    92    140    128.000     27.000  -1726.85598      1.65013      0.05127     -0.03522      0.04885
    92    140    128.000     30.000  -1722.59852      1.41753      0.03605     -0.03029      0.05958
    92    140    128.000     33.000  -1720.00443      1.47985      0.04736     -0.04252      0.08286
    92    140    128.000     36.000  -1717.56720      1.44313      0.04432     -0.03675      0.07978
    92    140    128.000     39.000  -1715.14679      1.16999      0.04334     -0.04580      0.11360
    92    140    128.000     42.000  -1713.91909      1.19615      0.05154     -0.03988      0.09020
    92    140    128.000     45.000  -1710.87373      1.22424      0.06425     -0.04725      0.08945
    92    140    128.000     48.000  -1698.28038      1.08517      0.06426     -0.12680      0.38580
